work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,Entry-level,Full-time,Data Analyst,USD,115000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,95000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Business Intelligence,USD,167500,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Business Intelligence,USD,106500,United States,In-person,United States,M,BI and Visualization
2024,Senior,Full-time,Research Scientist,USD,303050,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Scientist,USD,202350,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Architect,USD,184000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,123000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Analytics Engineer,USD,244400,France,In-person,France,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,131600,France,In-person,France,M,Leadership and Management
2024,Senior,Full-time,Data Engineer,USD,110000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,76500,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Analyst,USD,134400,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Analyst,USD,81200,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,100000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,75000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Research Engineer,USD,280000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,USD,130000,United States,In-person,United States,M,Data Analysis
